Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
179699,Linear Algebra and Its Applications,Gilbert Strang,"Strang, Gilbert",,0030105676,9780030105678,0,4.21,Cengage Learning,Hardcover,544,2005,1976,,11/9/18,to-read,to-read (#215),to-read,,,,0,,,0,,,,,
331102,A First Course in the Numerical Analysis of Differential Equations,Arieh Iserles,"Iserles, Arieh",,0521556554,9780521556552,0,4.08,Cambridge University Press,Paperback,400,1996,1996,,11/9/18,to-read,to-read (#214),to-read,,,,0,,,0,,,,,
31052,Don't Shoot the Dog!: The New Art of Teaching and Training,Karen Pryor,"Pryor, Karen",,1860542387,9781860542381,0,4.27,Ringpress Books,Paperback,202,2006,1984,,11/2/18,to-read,to-read (#213),to-read,,,,0,,,0,,,,,
6398447,Theo Gray's Mad Science: Experiments You Can Do at Home - But Probably Shouldn't,Theodore Gray,"Gray, Theodore",,1579127916,9781579127916,0,4.16,Black Dog & Leventhal,Hardcover,240,2009,2009,,10/14/18,to-read,to-read (#212),to-read,,,,0,,,0,,,,,
24611888,Thomas Jefferson and the Tripoli Pirates: The Forgotten War that Changed American History,Brian Kilmeade,"Kilmeade, Brian",Don Yaeger,1591848067,9781591848066,0,3.75,Sentinel,Hardcover,238,2015,2015,,9/29/18,to-read,to-read (#211),to-read,,,,0,,,0,,,,,
35876360,The Big Ones: How Natural Disasters Have Shaped Us (and What We Can Do about Them),Lucy    Jones,"Jones, Lucy",,0385542704,9780385542708,0,4.17,Doubleday Books,Hardcover,256,2018,2018,,6/22/18,to-read,to-read (#210),to-read,,,,0,,,0,,,,,
1065833,"Tapestry of Dark Souls (Ravenloft, #5)",Elaine Bergstrom,"Bergstrom, Elaine",,1560765712,9781560765714,5,3.43,TSR,Paperback,310,1993,1993,,6/17/18,,,read,,,,1,,,0,,,,,
37841134,Statistical Rethinking: A Bayesian Course with Examples in R and Stan (Chapman & Hall/CRC Texts in Statistical Science Book 122),Richard McElreath,"McElreath, Richard",,,,0,4.75,Chapman and Hall/CRC,Kindle Edition,487,2018,2015,,6/10/18,to-read,to-read (#209),to-read,,,,0,,,0,,,,,
111902,Citizen Cyborg: Why Democratic Societies Must Respond to the Redesigned Human of the Future,James Hughes,"Hughes, James",Karl  Yambert,0813341981,9780813341989,0,3.88,Basic Books,Hardcover,320,2004,2004,,5/29/18,to-read,to-read (#208),to-read,,,,0,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,1501139150,9781501139154,4,4.2,Simon  Schuster,Hardcover,600,2017,2017,5/26/18,5/28/18,,,read,"The Big Idea:<br/><br/>Biography of Leonardo da Vinci<br/>Â <br/>Highlights:<br/>Â <br/>Da Vinci was gay<br/><br/>It sucks that he didnâ€™t have a partner who helped/made him complete and publish stuff. Lots of his work could have changed the world, but was only rediscovered after it was discovered separately by someone else much later in history<br/><br/><br/><br/><br/>Actionable Items:<br/><br/>Avoid other Isaacson books<br/><br/><br/><br/><br/><br/>Other Notes & Takeaways:<br/>Really donâ€™t like Walter Isaacsonâ€™s books. Great content, poor biography<br/><br/><br/><br/>Format Consumed:<br/>Audiobook",,,1,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,0316556343,9780316556347,0,4.33,"Little, Brown and Company",Hardcover,393,2018,2018,,5/28/18,to-read,to-read (#207),to-read,,,,0,,,0,,,,,
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,0804137382,9780804137386,0,4.03,Crown Business,Hardcover,260,2014,2014,,4/25/18,to-read,to-read (#206),to-read,,,,0,,,0,,,,,
25733994,"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,"Bailey, Chris",,1101904038,9781101904039,0,4.03,Crown Business,Hardcover,304,2016,2016,,4/25/18,to-read,to-read (#205),to-read,,,,0,,,0,,,,,
